2025/05/13	11:22:23.776	(ALPSeq)	S	I	Command Dispose(False) of Sequence ID 1 (Sequence ID: 1)
2025/05/13	11:23:59.650	(ManagerExposureProcess)	S	I	Started ManagerConversion
2025/05/13	11:24:01.417	(ManagerConversion)	S	I	Stopping a possibly running former conversion
2025/05/13	11:24:04.156	(ManagerConversion)	S	I	Starting conversion (with Alignment parameters)
2025/05/13	11:24:04.156	(ManagerConversion)	S	I	Waiting for the stripes.cfg file to show up.
2025/05/13	11:28:35.930	(ManagerConversion)	S	I	The file stripes.cfg has been created by the conversion software. Cancellation counter: 0 (note: 0 means OK)
2025/05/13	11:28:35.960	(ManagerConversion)	S	I	The file expose.cfg has been reloaded. Cancellation counter: 0 (note: 0 means OK)
2025/05/13	11:28:35.988	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:28:38.093	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:28:40.294	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:28:40.312	(ManagerConversion)	S	I	The file stripes.cfg has been copied from the native linux filesystem to the local filesystem.
2025/05/13	11:28:42.416	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:28:44.552	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:28:46.706	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:28:46.722	(ManagerConversion)	S	I	The file stripes.cfg has been copied from the native linux filesystem to the local filesystem.
2025/05/13	11:28:48.880	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:28:50.987	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:28:53.134	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:28:53.152	(ManagerConversion)	S	I	The file stripes.cfg has been copied from the native linux filesystem to the local filesystem.
2025/05/13	11:28:55.273	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:28:57.426	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:28:59.544	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:28:59.560	(ManagerConversion)	S	I	The file stripes.cfg has been copied from the native linux filesystem to the local filesystem.
2025/05/13	11:29:01.650	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:29:03.789	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:29:05.897	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:29:05.913	(ManagerConversion)	S	I	The file stripes.cfg has been copied from the native linux filesystem to the local filesystem.
2025/05/13	11:29:08.034	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:29:10.133	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:29:12.204	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:29:12.220	(ManagerConversion)	S	I	The file stripes.cfg has been copied from the native linux filesystem to the local filesystem.
2025/05/13	11:29:14.333	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:29:16.456	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:29:18.557	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:29:18.573	(ManagerConversion)	S	I	The file stripes.cfg has been copied from the native linux filesystem to the local filesystem.
2025/05/13	11:29:20.715	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:29:22.866	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:29:25.002	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:29:25.018	(ManagerConversion)	S	I	The file stripes.cfg has been copied from the native linux filesystem to the local filesystem.
2025/05/13	11:29:27.184	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:29:29.280	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:29:31.393	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:29:31.409	(ManagerConversion)	S	I	The file stripes.cfg has been copied from the native linux filesystem to the local filesystem.
2025/05/13	11:29:33.529	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:29:35.663	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:29:37.758	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:29:37.774	(ManagerConversion)	S	I	The file stripes.cfg has been copied from the native linux filesystem to the local filesystem.
2025/05/13	11:29:39.864	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:29:41.958	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:29:44.045	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:29:44.061	(ManagerConversion)	S	I	The file stripes.cfg has been copied from the native linux filesystem to the local filesystem.
2025/05/13	11:29:46.162	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:29:48.247	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:29:50.380	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:29:50.395	(ManagerConversion)	S	I	The file stripes.cfg has been copied from the native linux filesystem to the local filesystem.
2025/05/13	11:29:52.529	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:29:54.636	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:29:56.752	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:29:56.768	(ManagerConversion)	S	I	The file stripes.cfg has been copied from the native linux filesystem to the local filesystem.
2025/05/13	11:29:58.863	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:30:01.016	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:30:03.133	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:30:03.149	(ManagerConversion)	S	I	The file stripes.cfg has been copied from the native linux filesystem to the local filesystem.
2025/05/13	11:30:05.276	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:30:07.408	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:30:09.522	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:30:09.538	(ManagerConversion)	S	I	The file stripes.cfg has been copied from the native linux filesystem to the local filesystem.
2025/05/13	11:30:11.640	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:30:13.771	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:30:15.897	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:30:15.913	(ManagerConversion)	S	I	The file stripes.cfg has been copied from the native linux filesystem to the local filesystem.
2025/05/13	11:30:18.018	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:30:20.151	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:30:22.263	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:30:22.280	(ManagerConversion)	S	I	The file stripes.cfg has been copied from the native linux filesystem to the local filesystem.
2025/05/13	11:30:24.363	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:30:26.513	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:30:28.629	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:30:28.644	(ManagerConversion)	S	I	The file stripes.cfg has been copied from the native linux filesystem to the local filesystem.
2025/05/13	11:30:30.765	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:30:32.871	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:30:34.965	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:30:34.983	(ManagerConversion)	S	I	The file stripes.cfg has been copied from the native linux filesystem to the local filesystem.
2025/05/13	11:30:37.074	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:30:39.193	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:30:41.286	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:30:41.303	(ManagerConversion)	S	I	The file stripes.cfg has been copied from the native linux filesystem to the local filesystem.
2025/05/13	11:30:43.416	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:30:45.530	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:30:47.632	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:30:47.648	(ManagerConversion)	S	I	The file stripes.cfg has been copied from the native linux filesystem to the local filesystem.
2025/05/13	11:30:49.756	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:30:51.877	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:30:53.998	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:30:54.014	(ManagerConversion)	S	I	The file stripes.cfg has been copied from the native linux filesystem to the local filesystem.
2025/05/13	11:30:56.163	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:30:58.274	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:31:00.353	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:31:00.369	(ManagerConversion)	S	I	The file stripes.cfg has been copied from the native linux filesystem to the local filesystem.
2025/05/13	11:31:02.454	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:31:04.563	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:31:06.696	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:31:06.712	(ManagerConversion)	S	I	The file stripes.cfg has been copied from the native linux filesystem to the local filesystem.
2025/05/13	11:31:08.803	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:31:10.927	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:31:13.031	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:31:13.047	(ManagerConversion)	S	I	The file stripes.cfg has been copied from the native linux filesystem to the local filesystem.
2025/05/13	11:31:15.147	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:31:17.269	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:31:19.379	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:31:19.395	(ManagerConversion)	S	I	The file stripes.cfg has been copied from the native linux filesystem to the local filesystem.
2025/05/13	11:31:21.501	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:31:23.600	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:31:25.723	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:31:25.739	(ManagerConversion)	S	I	The file stripes.cfg has been copied from the native linux filesystem to the local filesystem.
2025/05/13	11:31:27.866	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:31:29.993	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:31:32.144	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:31:32.160	(ManagerConversion)	S	I	The file stripes.cfg has been copied from the native linux filesystem to the local filesystem.
2025/05/13	11:31:34.279	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:31:36.462	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:31:38.584	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:31:38.600	(ManagerConversion)	S	I	The file stripes.cfg has been copied from the native linux filesystem to the local filesystem.
2025/05/13	11:31:40.748	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:31:42.908	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:31:44.997	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:31:45.012	(ManagerConversion)	S	I	The file stripes.cfg has been copied from the native linux filesystem to the local filesystem.
2025/05/13	11:31:47.084	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:31:49.205	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:31:51.356	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:31:51.373	(ManagerConversion)	S	I	The file stripes.cfg has been copied from the native linux filesystem to the local filesystem.
2025/05/13	11:31:53.510	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:31:55.695	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:31:57.845	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:31:57.861	(ManagerConversion)	S	I	The file stripes.cfg has been copied from the native linux filesystem to the local filesystem.
2025/05/13	11:32:00.032	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:32:02.167	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:32:04.281	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
2025/05/13	11:32:04.298	(ManagerConversion)	S	I	The file stripes.cfg has been copied from the native linux filesystem to the local filesystem.
2025/05/13	11:32:06.422	(ManagerConversion)	S	I	Reloaded stripes.cfg since it was not complete in the previous iteration. Matching the actual stripes: True.
